# =============================================================================
# known-benign-aborts.tsv — netty classes whose ABORTED status is confirmed benign
#
# THIS FILE IS TRACKED IN GIT ON PURPOSE. `apps/` is gitignored wholesale
# (.gitignore:12), so every file in this fixture has to be force-added
# (`git add -f`) to exist in the repo at all; the netty runner spent months
# untracked and its class-overrides.tsv header already claimed to be "tracked in
# git" while it was not. Same shape as apps/hib-suite-runner/known-benign-aborts.tsv,
# and for the same reason.
#
# WHAT THIS IS FOR
#
# `run-netty-suite.sh categorize` rebuilds passed.txt/others.txt from a fresh
# full run by literal status: PASS -> passed.txt, everything else (ABORTED
# included) -> others.txt. That is right in general — an ABORTED class usually
# does deserve a look. But a class whose only aborts are JUnit assumptions that
# are false-by-construction on this platform can never reach PASS here, so it
# gets re-flagged into others.txt on every categorize run, forever, and costs a
# fresh investigation each time. `DnsNameResolverTest` has now cost three
# (fixed-suite-bugs/netty/dnsnameresolvertest-windows-only-aborts-CONFIRMED-20260819.md).
#
# SAFETY: EXACT-COUNT MATCH, NOT NAME MATCH
#
# categorize does NOT reclassify a class because its name appears here. It does
# so only when the class's found/ok/aborted counts from the fresh run match the
# three columns below EXACTLY. If the abort profile ever shifts — a new failure,
# or a different number of self-skips because the assumption logic changed — the
# class lands in others.txt like any other residual, so this table cannot mask a
# regression on a class it lists. (A failed count above 0 makes run-netty-suite.sh
# derive FAIL, not ABORTED, before this table is consulted at all.)
#
# ONLY HOTSPOT-CONFIRMED ENTRIES BELONG HERE. Every row must have been run on
# stock HotSpot on the same classpath and produced the same three counts.
#
# Check the table is live with:  run-netty-suite.sh benign-aborts
#
# FORMAT: tab-separated  <class>  <found>  <ok>  <aborted>
# -----------------------------------------------------------------------------
# 232 tests, 216 pass, 16 abort: 8 test methods, each an @EnumSource
# @ParameterizedTest over DnsNameResolverChannelStrategy's two constants
# (ChannelPerResolver, ChannelPerResolution), and each opening with
#   assumeThat(PlatformDependent.isWindows()).isTrue();
# testResolveLocalhostIpv4/Ipv6, testResolveHostNameIpv4/Ipv6 and their
# testResolveAll* counterparts. On Linux those eight can never run, on any VM.
# Stock HotSpot 25 on this host: found=232 started=232 ok=216 failed=0
# aborted=16 skipped=0 — identical.
io.netty.resolver.dns.DnsNameResolverTest	232	216	16
#
# The io.netty.buffer alignment cluster: seven classes whose only aborts come
# from one capability assumption,
#   assumeTrue(PooledByteBufAllocator.isDirectMemoryCacheAlignmentSupported())
# which answers false on this host for BOTH VMs. AlignedPooledByteBufAllocatorTest
# gates EVERY test method (and its newAllocator override) on it, hence 28 of 49;
# the other six only reach it through the subset of parameterizations that ask
# for an aligned pooled allocator, hence 9 (or 2) out of ~500.
#
# All seven measured on stock HotSpot 25 on this host, one class per fork, same
# classpath: found/ok/aborted below are byte-for-byte what CratonVM reports.
# Only AlignedPooledByteBufAllocatorTest had been cross-checked before; the
# other six were an inference in
# fixed-suite-bugs/netty/buffer-alignment-abort-cluster-CLOSED-20260819.md
# until this table was written.
io.netty.buffer.AdvancedLeakAwareCompositeByteBufTest	506	497	9
io.netty.buffer.AlignedPooledByteBufAllocatorTest	49	21	28
io.netty.buffer.BigEndianCompositeByteBufTest	496	487	9
io.netty.buffer.LittleEndianCompositeByteBufTest	496	487	9
io.netty.buffer.PooledByteBufAllocatorTest	47	45	2
io.netty.buffer.SimpleLeakAwareCompositeByteBufTest	506	497	9
io.netty.buffer.WrappedCompositeByteBufTest	496	487	9
